Epoch,Accuracy,Loss
0.000000000000000000e+00,5.490196347236633301e-01,7.541993856430053711e-01
1.000000000000000000e+00,5.000000000000000000e-01,6.934412717819213867e-01
2.000000000000000000e+00,5.000000000000000000e-01,6.930353045463562012e-01
3.000000000000000000e+00,5.000000000000000000e-01,6.933168768882751465e-01
4.000000000000000000e+00,5.000000000000000000e-01,6.932361125946044922e-01
5.000000000000000000e+00,5.000000000000000000e-01,6.938072443008422852e-01
6.000000000000000000e+00,5.000000000000000000e-01,6.931669712066650391e-01
7.000000000000000000e+00,5.000000000000000000e-01,6.932426691055297852e-01
8.000000000000000000e+00,5.000000000000000000e-01,6.931473016738891602e-01
9.000000000000000000e+00,5.000000000000000000e-01,6.925714612007141113e-01
1.000000000000000000e+01,5.000000000000000000e-01,6.925958991050720215e-01
1.100000000000000000e+01,5.000000000000000000e-01,6.931858062744140625e-01
1.200000000000000000e+01,5.000000000000000000e-01,6.931419372558593750e-01
1.300000000000000000e+01,5.000000000000000000e-01,6.931694746017456055e-01
1.400000000000000000e+01,5.000000000000000000e-01,6.931856870651245117e-01
1.500000000000000000e+01,5.000000000000000000e-01,6.931790113449096680e-01
1.600000000000000000e+01,5.000000000000000000e-01,6.931735277175903320e-01
1.700000000000000000e+01,5.000000000000000000e-01,6.931555867195129395e-01
1.800000000000000000e+01,5.000000000000000000e-01,6.924370527267456055e-01
1.900000000000000000e+01,5.000000000000000000e-01,6.932096481323242188e-01
2.000000000000000000e+01,5.000000000000000000e-01,6.931720972061157227e-01
2.100000000000000000e+01,5.000000000000000000e-01,6.931356191635131836e-01
2.200000000000000000e+01,5.000000000000000000e-01,6.939349174499511719e-01
2.300000000000000000e+01,5.000000000000000000e-01,6.931886672973632812e-01
2.400000000000000000e+01,5.000000000000000000e-01,6.931591033935546875e-01
2.500000000000000000e+01,5.000000000000000000e-01,6.931593418121337891e-01
2.600000000000000000e+01,5.000000000000000000e-01,6.923756599426269531e-01
2.700000000000000000e+01,5.000000000000000000e-01,6.931589245796203613e-01
2.800000000000000000e+01,5.000000000000000000e-01,6.923866271972656250e-01
2.900000000000000000e+01,5.000000000000000000e-01,6.938821077346801758e-01
3.000000000000000000e+01,5.000000000000000000e-01,6.939337253570556641e-01
3.100000000000000000e+01,5.000000000000000000e-01,6.931599378585815430e-01
3.200000000000000000e+01,5.000000000000000000e-01,6.939229965209960938e-01
3.300000000000000000e+01,5.000000000000000000e-01,6.931297779083251953e-01
3.400000000000000000e+01,5.000000000000000000e-01,6.931588053703308105e-01
3.500000000000000000e+01,5.000000000000000000e-01,6.923748254776000977e-01
3.600000000000000000e+01,5.000000000000000000e-01,6.931514739990234375e-01
3.700000000000000000e+01,5.000000000000000000e-01,6.931909322738647461e-01
3.800000000000000000e+01,5.000000000000000000e-01,6.939520239830017090e-01
3.900000000000000000e+01,5.000000000000000000e-01,6.931577920913696289e-01
4.000000000000000000e+01,5.000000000000000000e-01,6.931873559951782227e-01
4.100000000000000000e+01,5.000000000000000000e-01,6.931065320968627930e-01
4.200000000000000000e+01,5.000000000000000000e-01,6.938914060592651367e-01
4.300000000000000000e+01,5.000000000000000000e-01,6.931302547454833984e-01
4.400000000000000000e+01,5.000000000000000000e-01,6.931263208389282227e-01
4.500000000000000000e+01,5.000000000000000000e-01,6.931537389755249023e-01
4.600000000000000000e+01,5.000000000000000000e-01,6.931532621383666992e-01
4.700000000000000000e+01,5.000000000000000000e-01,6.931254267692565918e-01
4.800000000000000000e+01,5.000000000000000000e-01,6.923397779464721680e-01
4.900000000000000000e+01,5.000000000000000000e-01,6.931813955307006836e-01
5.000000000000000000e+01,5.000000000000000000e-01,6.938447952270507812e-01
5.100000000000000000e+01,5.000000000000000000e-01,6.938730478286743164e-01
5.200000000000000000e+01,5.000000000000000000e-01,6.931533813476562500e-01
5.300000000000000000e+01,5.000000000000000000e-01,6.931214928627014160e-01
5.400000000000000000e+01,5.000000000000000000e-01,6.939557194709777832e-01
5.500000000000000000e+01,5.000000000000000000e-01,6.931519508361816406e-01
5.600000000000000000e+01,5.000000000000000000e-01,6.931515932083129883e-01
5.700000000000000000e+01,5.000000000000000000e-01,6.930855512619018555e-01
5.800000000000000000e+01,5.000000000000000000e-01,6.931523084640502930e-01
5.900000000000000000e+01,5.000000000000000000e-01,6.939481496810913086e-01
6.000000000000000000e+01,5.000000000000000000e-01,6.931511163711547852e-01
6.100000000000000000e+01,5.000000000000000000e-01,6.938508749008178711e-01
6.200000000000000000e+01,5.000000000000000000e-01,6.932459473609924316e-01
6.300000000000000000e+01,5.000000000000000000e-01,6.932157278060913086e-01
6.400000000000000000e+01,5.000000000000000000e-01,6.931505203247070312e-01
6.500000000000000000e+01,5.000000000000000000e-01,6.931520104408264160e-01
6.600000000000000000e+01,5.000000000000000000e-01,6.930886507034301758e-01
6.700000000000000000e+01,5.000000000000000000e-01,6.931512355804443359e-01
6.800000000000000000e+01,5.000000000000000000e-01,6.932123303413391113e-01
6.900000000000000000e+01,5.000000000000000000e-01,6.931194067001342773e-01
7.000000000000000000e+01,5.000000000000000000e-01,6.931214928627014160e-01
7.100000000000000000e+01,5.000000000000000000e-01,6.931511163711547852e-01
7.200000000000000000e+01,5.000000000000000000e-01,6.938396692276000977e-01
7.300000000000000000e+01,5.000000000000000000e-01,6.938380599021911621e-01
7.400000000000000000e+01,5.000000000000000000e-01,6.931499838829040527e-01
7.500000000000000000e+01,5.000000000000000000e-01,6.930888891220092773e-01
7.600000000000000000e+01,5.000000000000000000e-01,6.937743425369262695e-01
7.700000000000000000e+01,5.000000000000000000e-01,6.938635110855102539e-01
7.800000000000000000e+01,5.000000000000000000e-01,6.938043832778930664e-01
7.900000000000000000e+01,5.000000000000000000e-01,6.931511163711547852e-01
8.000000000000000000e+01,5.000000000000000000e-01,6.931498050689697266e-01
8.100000000000000000e+01,5.000000000000000000e-01,6.938290596008300781e-01
8.200000000000000000e+01,5.000000000000000000e-01,6.924707293510437012e-01
8.300000000000000000e+01,5.000000000000000000e-01,6.932117938995361328e-01
8.400000000000000000e+01,5.000000000000000000e-01,6.924421787261962891e-01
8.500000000000000000e+01,5.000000000000000000e-01,6.925004124641418457e-01
8.600000000000000000e+01,5.000000000000000000e-01,6.938558220863342285e-01
8.700000000000000000e+01,5.000000000000000000e-01,6.938882470130920410e-01
8.800000000000000000e+01,5.000000000000000000e-01,6.938263773918151855e-01
8.900000000000000000e+01,5.000000000000000000e-01,6.931501626968383789e-01
9.000000000000000000e+01,5.000000000000000000e-01,6.931206583976745605e-01
9.100000000000000000e+01,5.000000000000000000e-01,6.938540339469909668e-01
9.200000000000000000e+01,5.000000000000000000e-01,6.925022602081298828e-01
9.300000000000000000e+01,5.000000000000000000e-01,6.931499242782592773e-01
9.400000000000000000e+01,5.000000000000000000e-01,6.938239336013793945e-01
9.500000000000000000e+01,5.000000000000000000e-01,6.931176185607910156e-01
9.600000000000000000e+01,5.000000000000000000e-01,6.931498050689697266e-01
9.700000000000000000e+01,5.000000000000000000e-01,6.931205987930297852e-01
9.800000000000000000e+01,5.000000000000000000e-01,6.931205987930297852e-01
9.900000000000000000e+01,5.000000000000000000e-01,6.930882930755615234e-01
1.000000000000000000e+02,5.000000000000000000e-01,6.931498050689697266e-01
1.010000000000000000e+02,5.000000000000000000e-01,6.931498050689697266e-01
1.020000000000000000e+02,5.000000000000000000e-01,6.931497454643249512e-01
1.030000000000000000e+02,5.000000000000000000e-01,6.924746632575988770e-01
1.040000000000000000e+02,5.000000000000000000e-01,6.931496262550354004e-01
1.050000000000000000e+02,5.000000000000000000e-01,6.925359964370727539e-01
1.060000000000000000e+02,5.000000000000000000e-01,6.938518285751342773e-01
1.070000000000000000e+02,5.000000000000000000e-01,6.931496858596801758e-01
1.080000000000000000e+02,5.000000000000000000e-01,6.924742460250854492e-01
